"abbreviation","name","short description"
"Cba","Bright Angel Shale"," Green and purple-red, slope-forming siltstone and shale, and interbeds of reddish-brown to brown sandstone of Tapeats Sandstone lithology. Includes ledge-forming red-brown sandstone member of McKee and Resser 1945. Consists of green and purplish-red, fine (...)"
"Cm","Muav Limestone"," Dark-gray, light-gray, brown, and orange-red, cliff-forming limestone, dolomite, and calcareous mudstone. Includes, in descending order, unclassified dolomites, Havasu, Gateway Canyon, Kanab Canyon, Peach Springs, Spencer Canyon, and Rampart Cave Members  (...)"
"Ct","Tapeats Sandstone"," Brown and reddish-brown, cliff-forming sandstone and conglomerate. Includes an upper slope-forming transition zone of nearly equal distribution of brown sandstone of Tapeats Sandstone lithology and green siltstone and shale of Bright Angel Shale lithology (...)"
"Dtb","Temple Butte Formation"," Purple, reddish-purple, dark-gray, and light-gray, ledge-forming dolomite, sandy dolomite, sandstone, mudstone, and limestone, as defined by Beus 2003. Purple, reddish-purple, and light-gray, fine- to coarse-grained, thin- to medium-bedded, ripple-laminat (...)"
"H20","",""
"IPMs","",""
"Jc","Carmel Formation, undivided"," Red and light-gray, slope-forming sandstone, siltstone, claystone, and silty calcareous and gypsiferous sandstone at Middle Mesa east edge of quadrangle, along Red Lake Monocline (northeast corner of quadrangle), and as isolated outcrops (northwest quarte (...)"
"Je","Entrada Sandstone"," Includes a lower interval of white, very fine-grained, trough crossbedded sandstone equivalent to Entrada Sandstone north of map area; a middle interval of interbedded red, flat-bedded siltstone and sandstone equivalent to Summerville Formation north of m (...)"
"Jk","Kayenta Formation, undivided"," Includes an upper slope-forming siltstone, and a basal cliff of the Springdale Sandstone Member. The Springdale Sandstone Member was originally described as the upper member of the underlying Moenave Formation Averitt and others, 1955; Stewart and others, (...)"
"Jkn","Kayenta Formation and Navajo Sandstone transition zone"," Light-red and white, fine- to medium-grained, massive to crossbedded, cliff-forming beds of Navajo Sandstone lithology that intertongue with purple and light-red, slope-forming mudstone, siltstone, and sandstone beds of Kayenta Formation lithology. Forms  (...)"
